Feature ID,106A_Female_TotalReads,108A_Female_TotalReads,106A_Male_TotalReads,108A_Male_TotalReads
TR11163,23,1,14,9
TR11164,394,226,838,638
TR11165,13,9,11,11
TR11168,8,4,3,6
TR11169,2,2,5,2
TR11170,5,6,14,6
TR11171,1,26,71,2
TR11172,19,12,8,9
TR11174,6,0,7,8
TR11176,467,522,560,382
TR11178,5,8,8,5
TR11179,24,65,101,55
TR11181,11,6,14,9
TR11183,12,7,30,37
TR11184,6,12,16,19
TR11185,1,0,5,4
TR11186,10,8,28,24
TR11187,18,37,13,7
TR11188,12,2,9,6
TR11189,35,94,82,41
TR1119,13,24,20,21
TR11190,13,3,13,4
TR11191,7,7,1,35
TR11192,5,6,8,12
TR11195,6,6,7,13
TR112,61,69,228,199
TR1120,4,7,7,5
TR11200,6216,5884,11970,11607
TR11201,8,2,12,2
TR11202,7,8,17,11
TR11205,41,22,28,16
TR11207,10,12,16,15
TR11208,6,1,16,11
TR11209,60,40,71,43
TR1121,3,15,10,3
TR11210,27,14,28,15
TR11212,138,52,63,44
TR11214,58,50,110,93
TR11215,27,58,86,48
TR11216,27,27,36,22
TR11219,0,6,1,7
TR1122,0,12,1,0
TR11220,3,5,6,9
TR11223,6,6,11,4
TR11224,8,24,9,10
TR11225,8,5,23,5
TR11226,27,18,53,45
TR11227,5,5,7,10
TR11228,90,46,64,46
TR11229,4,1,10,16
TR1123,6,5,16,8
TR11232-1,10,5,25,13
TR11232-2,47,80,18,25
TR11233,7,6,6,1
TR11234,8,3,82,75
TR11235,21,18,40,10
TR11236,6,6,0,0
TR11237,18,16,41,30
TR11238,59,46,61,128
TR11239,49,39,40,30
TR1124,18,12,12,21
TR11240,1,6,1,1
TR11241,4,9,17,6
TR11243,6,2,4,4
TR11244,3,15,5,6
TR11246,5,5,14,24
TR11247,94,142,141,87
TR11248,4,12,6,4
TR11249,2,2,2,9
TR1125,4,3,11,12
TR11250,10,4,17,11
TR11251,278,202,1591,891
TR11252,12,10,20,19
TR11253,4,87,7,32
TR11254,8,9,9,16
TR11255,2,10,9,6
TR11256,13,57,22,20
TR11258,38,23,40,13
TR11259,6,26,0,1
TR1126,17,40,38,40
TR11260,2,0,4,3
TR11261,0,0,25,141
TR11262,66,63,33,36
TR11264,7,11,15,13
TR11268,4,5,9,19
TR11269,10,11,7,14
TR1127,4,0,3,1
TR11271,140,71,122,56
TR11272,4,8,19,36
TR11273-1,0,9,2,10
TR11273-2,1,3,3,0
TR11275,2,1,3,5
TR11278,30,9,18,6
TR11279,9,11,8,2
TR1128,0,4,5,3
TR11280,8,18,6,7
TR11282,6,12,4,8
TR11283,4081,4597,4833,4181
TR11283-1,1681,2743,2883,2824
TR11283-2,2009,55,461,14
TR11285,6,7,14,17
TR11286,2,6,8,6
TR11288,8,4,4,3
TR11290,3,0,9,0
TR11294-1,0,3,0,2
TR11294-2,1,3,5,2
TR11295,31,38,10,37
TR11297,65,71,84,70
TR11298,3,6,11,11
TR11299,284,290,305,226
TR113-1,2,5,3,3
TR113-2,4,0,1,0
TR1130,23,0,74,1
TR11301,20,30,24,17
TR11302-1,16,2,4,48
TR11302-2,40,28,63,87
TR11303,9,12,13,21
TR11305,13,5,18,20
TR11306,11,6,3,6
TR11307,2,1,4,19
TR11308,2,3,15,26
TR11309,2,10,1,8
TR1131,7,7,10,9
TR11312,12,14,45,21
TR11313,5,6,1,8
TR11315,20,9,33,11
TR11316,6,7,57,39
TR11317,1,0,52,14
TR11319,11,17,12,7
TR1132,5,5,6,2
TR11321,9,27,26,14
TR11324,10,25,20,30
TR11327,1,6,7,22
TR11328,44,35,126,112
TR11329,7,1,6,4
TR1133,3,11,10,1
TR11330,21,18,30,19
TR11333,7,12,20,16
TR11334,42,70,246,100
TR11335-1,3,2,10,7
TR11335-2,1,0,4,4
TR11336,19,7,26,20
TR11337,92,11,11,1
TR11339,74,44,70,52
TR1134,2,4,8,9
TR11340,56,96,75,60
TR11345,10,17,84,49
TR11346,27,22,20,17
TR11347,23,80,36,42
TR11349,511,802,1193,784
TR11350,1,4,15,11
TR11351,33,68,43,31
TR11352-1,57,6,4,12
TR11352-2,32,42,23,24
TR11353,270,269,744,587
TR11354,6,3,31,49
TR11356,61,62,69,45
TR11358,5,10,8,7
TR11359,5,7,10,6
TR1136,13,20,26,18
TR11361,6,5,66,55
TR11363,19,10,18,15
TR11364,47,44,39,39
TR11365,9,1,12,6
TR11366,20,38,30,261
TR11367,3,8,8,23
TR11368,7,6,15,15
TR11369,7,2,28,23
TR1137,2,0,5,3
TR11370,1,8,10,10
TR11372,49,60,109,99
TR11374-1,2,2,0,14
TR11374-2,10,2,1,13
TR11380,9,18,26,13
TR11381,20,36,41,25
TR11382,10,10,8,8
TR11384,15,0,24,0
TR11387,5,13,14,17
TR11390,6,2,8,4
TR11392,69,137,122,120
TR11393,4,11,7,5
TR11394,3,14,4,2
TR11394-1,43,83,54,61
TR11394-2,6,0,42,27
TR11396,29,18,12,16
TR11397-1,17,14,9,7
TR11397-2,12,0,2,1
TR11398,3,5,11,10
TR11399,25,23,28,18
TR1140,28,20,30,13
TR11400,23,28,33,29
TR11401,2,3,7,7
TR11403,5,7,6,5
TR11404,36,42,61,66
TR11407,30,27,43,29
TR11409,1,0,0,164
TR1141,1,15,1,8
TR11410-1,1,3,16,28
TR11410-2,3,2,4,4
TR11411,5,3,7,5
TR11412,21,10,11,2
TR11413,3,3,3,2
TR11415,5,12,14,7
TR11416-1,6,7,21,18
TR11416-2,2,1,2,5
TR11419,2,16,7,6
TR11420,21,22,13,18
TR11421,5,3,3,1
TR11423,352,406,489,421
TR11424,28,8,95,114
TR11424-1,1,16,32,3
TR11424-2,12,14,28,42
TR11425,7,36,1,6
TR11427,28,37,58,86
TR11429,11,6,12,8
TR1143-1,1,0,0,2
TR1143-2,1,2,2,0
TR11430,13,9,7,12
TR11431,3,15,7,13
TR11432,2,9,8,8
TR11433,3,5,1,2
TR11434,98,102,99,111
TR11436,13,11,44,27
TR11438,15,18,9,9
TR11439,14,4,22,11
TR1144,10,6,1,6
TR11441,6,18,29,28
TR11442,32,79,62,105
TR11443,4,0,14,9
TR11444,25,17,33,30
TR11445,19,24,76,20
TR11449,1,7,3,0
TR11450,16,13,16,9
TR11451,16,1,9,13
TR11452,88,136,179,118
TR11453,49,24,29,27
TR11456,16,59,31,22
TR11458,612,728,1729,815
TR11460,9,18,18,20
TR11461,8,14,24,11
TR11463,104,72,148,113
TR11465,4,7,5,8
TR11466,234,354,298,263
TR11467,969,1230,1241,1119
TR11468,405,603,1311,1398
TR11469,10,0,16,12
TR11470,24,32,26,23
TR11473,10,8,4,12
TR11476-1,4,1,22,12
TR11476-2,31,12,6,12
TR11477,179,183,190,110
TR11479,3,0,13,36
TR1148,10,14,10,16
TR11480,15,10,10,8
TR11481-1,1,5,10,12
TR11481-2,6,18,20,9
TR11482,63,92,230,208
TR11483,92,137,93,69
TR11484,22,17,44,48
TR11485,8,19,17,7
TR11486,12,22,20,24
TR11489,19,38,52,36
TR1149,47,30,42,25
TR11490,259,461,724,801
TR11491,207,180,354,302
TR11492,63,82,118,35
TR11494,738,617,524,409
TR11495,175,112,232,175
TR11496,215,211,265,215
TR11497-1,4,13,8,1
TR11497-2,5,1,7,1
TR11498,9,11,26,30
TR11499,27,33,87,64
TR115,1,44,33,4
TR11502,2,17,33,28
TR11503,200,193,1028,1310
TR11505,7,18,2,32
TR11506,36,36,30,29
TR11507,10,7,20,11
TR1151,1,2,6,4
TR11510,146,53,203,337
TR11511,1,19,4,28
TR11513,1,6,11,9
TR11514,10,12,2,0
TR11516,6,9,36,27
TR11517,7,3,17,16
TR11518,10,5,6,18
TR11519,5,9,19,16
TR1152,3,12,13,11
TR11520,226,217,306,210
TR11524,8,9,22,15
TR11525,1,7,1,5
TR11528,5,2,9,3
TR11529,17,14,73,91
TR1153,1,3,2,3
TR11530,38,13,146,223
TR11531,8,0,5,4
TR11532,19,13,90,46
TR11535,1,2,4,0
TR11535-1,7,2,4,6
TR11535-2,1,0,4,9
TR11536,8,5,5,0
TR11537,39,89,185,93
TR11538,6,13,6,12
TR11539,4,6,16,15
TR1154,3,6,8,3
TR11540,12,15,13,19
TR11541,2,5,2,9
TR11542,25,25,22,30
TR11544,2,1,12,5
TR11545-1,16,9,33,34
TR11545-2,1,46,69,0
TR11546,2,1,1,16
TR11547,79,83,164,106
TR11548,49,31,21,29
TR11549,88,76,65,77
TR1155,255,259,344,170
TR11550,17,16,21,10
TR11551,223,342,461,556
TR11552,4,2,14,5
TR11555,9,36,67,24
TR11556,3,19,7,10
TR11558-1,7,0,5,8
TR11558-2,8,0,4,1
TR11559,1,2,4,4
TR1156,0,1,10,11
TR11560,86,129,32,33
TR11561,5,4,2,8
TR11563-1,8,1,11,6
TR11563-2,3,0,9,2
TR11564,10,14,23,28
TR11565,9,4,5,23
TR11566,12,14,15,14
TR11567,5,7,6,11
TR11568,15,47,71,49
TR1157-1,1,7,0,0
TR1157-2,8,0,9,4
TR11570,5,2,4,3
TR11575,9,5,9,12
TR11576,36,34,47,60
TR11577,11,7,22,9
TR11578,22,19,21,15
TR11579,19,8,21,4
TR11580,5,35,58,33
TR11582,2,14,5,7
TR11583,25,38,42,60
TR11584,8,20,16,18
TR11585,11,20,18,38
TR11586,48,89,161,100
TR11587,12,9,8,13
TR11588,8,9,16,17
TR11589,18,10,10,8
TR1159,1,5,6,8
TR11590-1,3,36,51,17
TR11590-2,73,47,43,130
TR11591-1,3,1,1,1
TR11591-2,0,3,1,3
TR11592,8,26,4,4
TR11593,9,5,10,5
TR11594,113,544,354,327
TR11595,241,324,305,446
TR11597,7,6,6,8
TR11598,5,6,12,5
TR11599,550,559,650,647
TR116,3,4,22,11
TR11600,5,0,12,21
TR11602,0,22,11,9
TR11602-1,35,82,238,84
TR11602-2,19,93,24,70
TR11606,1,0,4,6
TR11607,6,4,3,1
TR11608,6,29,8,30
TR11609,8,8,26,19
TR1161,67,36,348,232
TR11610,0,7,7,2
TR11611,34,20,22,25
TR11612,88,136,134,170
TR11616,13,5,29,7
TR11617,15,6,35,17
TR11618,18,13,19,9
TR11619,9,4,23,27
TR1162,12,10,11,4
TR11621,7,6,13,67
TR11623,13,6,14,21
TR11624,9,8,13,17
TR11626,5,19,17,15
TR11628,16,18,22,20
TR11629,28,42,20,38
TR1163,4,6,7,12
TR11631,27,31,34,38
TR11632,7,7,17,14
TR11634,18,29,38,32
TR11635,4,2,4,3
TR11636,13,8,14,17
TR11637,11,20,17,15
TR11638,574,443,748,532
TR11639,3,2,6,5
TR11640,63,28,39,10
TR11642,9,12,15,23
TR11643,3,4,0,9
TR11644,5,11,24,23
TR11646,343,156,408,714
TR11647-1,9,5,7,14
TR11647-2,12,13,30,21
TR11648,84,60,67,99
TR11649,84,87,104,83
TR1165-1,3,3,4,3
TR1165-2,1,4,7,4
TR11650-1,2,10,2,0
TR11650-2,2,2,5,6
TR11655,2,7,12,17
TR1166,2,1,5,2
TR11660,7,6,16,8
TR11662-1,5,12,2,9
TR11662-2,0,1,25,2
TR11663,5,9,6,14
TR11664,15,9,83,91
TR11665,9,14,10,7
TR11667,3,1,13,22
TR11668-1,0,7,6,4
TR11668-2,4,3,4,8
TR11668-3,2,0,6,4
TR11669,32,28,46,49
TR1167,64,116,50,42
TR11670,7,24,25,30
TR11671,115,59,74,63
TR11672,6,16,14,1
TR11673,10,33,16,24
TR11674,156,134,208,32
TR11675,4,7,3,20
TR11677,11,7,0,0
TR11679,15,13,24,16
TR1168,7,8,11,11
TR11680,3,6,13,4
TR11681,18,10,10,23
TR11684-1,6,10,6,11
TR11684-2,0,6,13,3
TR11686,62,49,75,47
TR11687,9,5,19,34
TR1169,2,13,7,22
TR11690,3,6,4,4
TR11693,22,41,63,99
TR11694,8,11,13,17
TR11696,5,13,7,9
TR11698,7,4,14,28
TR1170,1,5,2,0
TR11700,2,4,26,23
TR11701,148,269,305,360
TR11702,7,57,217,82
TR11703,6,8,11,6
TR11705,0,1,10,60
TR11706,5,9,15,12
TR11708-1,9,0,6,13
TR11708-2,0,15,13,7
TR11709,5,8,10,6
TR11711,801,3055,1365,1414
TR11712,22,32,50,58
TR11713-1,15,10,3,1
TR11713-2,2,2,7,5
TR11714,29,22,54,69
TR11716,36,0,5,0
TR11718,5,10,16,22
TR11722-1,0,2,3,16
TR11722-2,2,7,8,3
TR11723,7,4,21,23
TR11724,5,1,8,11
TR11725,52,16,30,27
TR11726,17,10,10,21
TR11727,6,19,32,15
TR11729,7,5,22,6
TR1173,12,0,10,2
TR11732,82,90,245,58
TR11733,110,153,177,127
TR11735,10,12,27,15
TR11737,13,45,11,6
TR11739,3,20,8,11
TR1174,4,10,15,9
TR11740,11,20,9,14
TR11742,116,38,22,103
TR11743,7,7,33,27
TR11744,6,4,6,14
TR11745,5,22,49,16
TR11746,5,37,76,19
TR11748,9,11,9,25
TR11749,3,7,8,5
TR1175,11,10,13,17
TR11750-1,27,14,38,2
TR11750-2,7,29,25,14
TR11751,57,37,78,70
TR11753,7,10,15,11
TR11754,2131,1922,5973,5959
TR11755,6,5,7,8
TR11756,1174,837,1776,3129
TR11757,17,37,45,30
TR11758,20,40,23,16
TR11759,49,46,75,109
TR1176,0,12,0,11
TR11760,13,19,10,16
TR11761,8,7,9,1
TR11762,5,0,8,19
TR11764,87,105,137,99
TR11765,20,44,1,0
TR11766,63,65,30,16
TR11767,367,160,139,147
TR11769,8,15,17,14
TR11770,19,33,48,24
TR11771,7,3,0,4
TR11773,62,36,61,76
TR11774,6,4,2,0
TR11775,81,84,153,109
TR11776,3,8,11,12
TR11777,35,17,14,10
TR1178,15,7,28,21
TR11780,2,10,7,26
TR11781,43,67,107,74
TR11782,3605,4406,6952,8187
TR11784,61,28,18,31
TR11785,8,13,15,17
TR11787,5,8,48,35
TR11788-1,52,2,14,7
TR11788-2,20,10,17,8
TR11789,18,30,40,17
TR1179,6,6,8,4
TR11790,6,21,18,12
TR11792,29,25,99,77
TR11793,0,1,5,5
TR11795,17,11,24,18
TR11796-1,0,0,6,7
TR11796-2,0,1,7,0
TR11797-1,47,81,139,154
TR11797-2,16,15,73,51
TR11798,12,12,26,6
TR11799,1,4,5,4
TR1180,6,9,9,12
TR11801,1,12,9,11
TR11802,83,257,164,262
TR11804,31,23,123,63
TR11805-1,15,6,7,3
TR11805-2,9,20,19,9
TR11807,1009,1454,1656,1890
TR11808,6,19,9,26
TR11809,1696,2380,2335,2282
TR1181,5,12,11,15
TR11810,11,37,7,2
TR11811,93,16,404,382
TR11812,8,24,27,21
TR11813,7,13,12,7
TR11814,58,30,29,8
TR11816,79,123,155,154
TR11817,34,22,40,19
TR11818,16,29,40,54
TR11819,14,3,6,11
TR1182,0,5,1,3
TR11821,5,11,7,9
TR11822,370,439,1397,1584
TR11823,53,141,94,119
TR11824,2,7,14,49
TR11825,70,34,32,31
TR11826,21,7,20,27
TR11828,93,51,54,34
TR11829,12,24,64,70
TR1183,5,4,9,2
TR11830,5,8,7,13
TR11831,44,44,28,36
TR11832,13,3,2,5
TR11834,2869,3426,5852,6596
TR11835,9,8,19,24
TR11836,87,117,82,73
TR11837,27,20,30,35
TR11838,22,44,58,30
TR11839,13,8,15,29
TR1184,30,0,11,6
TR11840,31,109,60,38
TR11842,35,25,140,123
TR11844,1918,2570,3833,3917
TR11845,30,3,80,73
TR11846,2056,2529,4211,5059
TR11848,2,1,7,1
TR11848-1,3,10,21,26
TR11848-2,2,1,3,14
TR11849,140,197,229,207
TR1185,1,3,4,7
TR11852,58,101,200,79
TR11853,3,6,14,5
TR11854,10,22,26,21
TR11856,71,14,7,2
TR11857,16,21,15,11
TR11858,12,20,14,9
TR11859,7,18,34,45
TR1186-1,1,1,0,3
TR1186-2,1,0,1,1
TR11861,83,71,76,30
TR11862,30,13,17,13
TR11863,16,18,67,41
TR11865,14,10,24,13
TR11866,71,38,71,59
TR11867,50,56,73,28
TR11868,5,27,25,33
TR11869,6,0,10,13
TR11869-1,2820,4221,4566,5953
TR11869-2,458,412,1101,14
TR1187,3,11,6,5
TR11870,2,1,6,10
TR11872,245,298,362,404
TR11873,11,8,18,8
TR11874,12,8,15,27
TR11876,0,4,5,17
TR11877,6,2,2,3
TR1188,3,7,5,10
TR11880,243,389,401,339
TR11881,5,7,10,5
TR11882,5,5,10,11
TR11883,0,8,19,3
TR11885,3,25,10,15
TR11888,1127,2429,867,908
TR1189,0,1,4,2
TR11890,181,225,312,294
TR11891,9,21,29,7
TR11892,10,2,22,26
TR11893,48,72,167,118
TR11896,43,133,27,70
TR11897,59,47,76,52
TR11899,9,68,16,26
TR119,5,1,11,5
TR1190-1,2,0,5,1
TR1190-2,7,7,4,3
TR11900-1,4,1,1,0
TR11900-2,7,3,3,1
TR11903,18,34,33,19
TR11904,4,4,7,6
TR11905,3,20,15,13
TR11906,9,7,39,29
TR11907,27,63,41,65
TR1191,0,2,6,3
TR11911,6,17,13,7
TR11912,5,11,8,26
TR11913,5,36,24,47
TR11914,1,3,4,5
TR11916,18,5,1,22
TR11917,10,19,14,17
TR11918,1,0,1,3
TR11919-1,8,4,15,9
TR11919-2,5,7,5,3
TR1192,6,0,4,11
TR11920-1,2,0,11,3
TR11920-2,6,1,3,3
TR11920-3,6,0,2,0
TR11921,4,7,25,22
TR11923-1,0,1,13,0
TR11923-2,25,37,39,34
TR11924-1,2,4,8,1
TR11924-2,57,15,44,21
TR11925,440,594,830,852
TR11926,79,152,156,170
TR11928,134,144,86,88
TR11929,18,5,73,55
TR1193,10,15,4,1
TR11930-1,0,1,3,3
TR11930-2,8,6,13,15
TR11932,10,4,9,8
TR11934,20,20,41,20
TR11936,3,3,5,4
TR11938,9,13,16,10
TR11939,1,0,11,17
TR1194,7,23,37,17
TR11940,11,14,18,5
TR11941,122,86,105,95
TR11942,9,24,8,14
TR11943,301,149,217,178
TR11944,21,31,71,25
TR11945-1,2,1,7,2
TR11945-2,4,3,6,24
TR11947,6,0,27,22
TR11949,20,18,7,19
TR1195,4,12,11,21
TR11950,24,49,34,50
TR11952,45,8,6,0
TR11953,4527,6541,7683,8805
TR11954-1,19,26,17,13
TR11954-2,2,19,10,10
TR11955,54,97,86,76
TR11957,6,15,44,8
TR11958,4,27,16,8
TR1196,1,4,4,5
TR11963,10,13,12,20
TR11965,8,19,18,8
TR11967,748,937,1556,1676
TR11969,7,8,10,12
TR1197,2,6,3,12
TR11970,37,56,225,106
TR11971,2,11,18,9
TR11972,9,18,38,41
TR11973,62,74,96,119
TR11974,968,977,1645,1958
TR11976,38,7,79,107
TR11977,26,55,51,35
TR1198,2,0,6,3
TR11980,25,47,48,45
TR11981,12,4,45,33
TR11983,65,30,29,8
TR11985,5,4,2,12
TR11986,113,137,134,92
TR11987,408,704,918,1335
TR11988-1,0,4,7,3
TR11988-2,5,31,19,29
TR11989,0,1,10,1
TR1199,4,5,11,5
TR11990,30,29,66,133
TR11991,54,96,82,80
TR11992-1,15,6,34,51
TR11992-2,5,5,2,16
TR11993,190,142,282,214
TR11994,9,3,10,9
TR11997,5,2,16,13
TR11998,3,14,11,10
TR11999,1,5,7,7
TR12,17,7,18,31
TR120,7,7,13,9
TR1200,17,0,5,0
TR12000-1,14,14,6,9
TR12000-2,2,2,4,1
TR12001,23,34,49,55
TR12003,8,3,3,8
TR12004-1,1,0,1,17
TR12004-2,1,0,0,16
TR12006,54,46,89,93
TR12007,5,4,4,5
TR12008,21,33,29,34
TR1201,5,9,4,11
TR12010,4,19,5,14
TR12012,47,25,102,30
TR12013-1,3,1,5,1
TR12013-2,1,7,7,13
TR12014,0,4,26,28
TR12017,4,4,1,4
TR12018,0,4,1,7
TR12019,244,149,283,394
TR1202,8,2,2,1
TR12022,16,12,15,9
TR12023,331,312,460,351
TR12024,27,10,14,11
TR12025,17,22,23,32
TR12026,2,14,27,87
TR12027,1642,1409,2542,2520
TR12029,8,21,27,24
TR1203,0,12,8,4
TR12030,5,4,0,4
TR12031,17,56,89,115
TR12033,4,11,21,20
TR12035,23,23,31,23
TR12036-1,1,6,6,3
TR12036-2,5,7,5,1
TR12037,27,46,29,41
TR12038,6,7,10,13
TR1204,3,2,1,4
TR12040,3,4,6,6
TR12041,11,29,22,20
TR12045,6,8,54,0
TR1205,0,4,2,14
TR12050,13,11,24,15
TR12053,50,44,56,46
TR12054,417,123,352,769
TR12059,19,24,38,28
TR12060,5,4,10,8
TR12061,3,7,6,16
TR12063,13,19,23,9
TR12064,5,3,37,38
TR12066,5,6,4,11
TR12069,24,18,54,85
TR12070,14,18,21,18
TR12071,12,7,45,54
TR12072,11,20,23,30
TR12073,11,18,10,19
TR12074,12,11,23,18
TR12075,7,10,30,23
TR12077,8,25,20,13
TR12078,3,6,30,17
TR12079,13,46,60,35
TR12079-1,4,5,14,3
TR12079-2,6,2,22,6
TR1208,3,1,4,5
TR12080,0,4,36,1
TR12081,89,43,119,197
TR12082,14,7,12,12
TR12084,5,22,47,25
TR12086,9,19,32,19
TR12087,1,3,6,10
TR12088-1,7,2,5,8
TR12088-2,0,0,0,14
TR12093-1,2,2,4,35
TR12093-2,5,6,18,61
TR12095,6,8,23,12
TR12096,20,40,58,32
TR12097,69,61,92,58
TR12099,592,934,1128,1186
TR1210,2,13,10,7
TR12100,14,251,44,82
TR12101,11,9,33,29
TR12103,0,15,7,3
TR12104,42,84,63,117
TR12105,12,38,32,13
TR12107,4,5,21,30
TR1211,19,15,15,7
TR12110,15,16,27,15
TR12111,50,39,25,30
TR12112,1,5,26,17
TR12113,5,4,25,5
TR12114,48,14,19,14
TR12118,9,9,48,152
TR12119,442,1432,837,982
TR1212,591,672,1259,818
TR12120,13,21,29,6
TR12123,12,14,20,21
TR12124,22,25,21,20
TR12125,8,15,26,17
TR12126,5,11,15,7
TR12129,13,5,45,45
TR1213,5,4,10,22
TR12130,22,7,146,172
TR12131,5,4,9,6
TR12132,11,9,8,16
TR12135,15,13,9,1
TR12138,7,12,12,15
TR12139,43,40,113,99
TR12140,654,803,611,485
TR12142,216,127,140,122
TR12143-1,3,8,0,2
TR12143-2,3,3,4,3
TR12143-3,3,0,3,3
TR12144,12,8,20,31
TR12145,14,4,15,6
TR12146,8,9,6,12
TR12147,4,16,0,3
TR12147-1,41,22,26,6
TR12147-2,16,7,4,5
TR12149,267,277,608,670
TR1215,2,5,1,7
TR12150,2,3,14,13
TR12151,26,49,29,13
TR12152,15,10,16,11
TR12153,2,8,11,8
TR12154,4,4,11,10
TR12156-1,5,5,7,11
TR12156-2,3,13,5,13
TR12157,1,2,33,24
TR12158,0,4,8,6
TR1216,4,1,4,2
TR12160-1,0,1,4,0
TR12160-2,3,0,1,1
TR12160-3,5,0,3,2
TR12161,18,24,41,35
TR12162,19,28,11,18
TR12163,13,20,11,14
TR12164-1,11,15,1,0
TR12164-2,7,6,0,1
TR12168,4,2,6,16
TR12169,87,134,231,68
TR1217,3,1,9,11
TR12170,10,0,13,8
TR12172,4,10,62,11
TR12174,3,38,4,0
TR12175,5,13,4,6
TR12176,3,6,15,14
TR12177,8,2,14,0
TR12177-1,23,23,16,17
TR12177-2,0,3,10,9
TR12178,5,2,4,31
TR12182-1,2,2,4,4
TR12182-2,5,0,1,5
TR12183,3,2,4,8
TR12184,0,9,4,8
TR12186,200,26,645,809
TR12188,1,9,6,6
TR12189,1,8,10,4
TR1219,13,11,17,22
TR12191,342,307,461,457
TR12192,46,7,22,15
TR12193,4,1,0,1
TR12193-1,28,10,10,36
TR12193-2,3,1,12,14
TR12194,4,14,10,11
TR12195,9,14,16,10
TR12199,8,11,17,14
TR1220,1,4,5,5
TR12200-1,2,2,6,4
TR12200-2,0,6,1,0
TR12201,8,3,11,3
TR12202,2,5,5,7
TR12203,6,10,6,14
TR12204,19,21,23,30
TR12205,39,2,3,25
TR12206,6,8,16,30
TR12207,22,34,32,57
TR12208,34,15,17,14
TR12209,7,0,12,4
TR1221,1,6,5,7
TR12210,18,17,15,14
TR12211,7,6,27,14
TR12212,10,0,11,0
TR12213,8,3,4,7
TR12214-1,4,9,3,5
TR12214-2,3,2,3,1
TR12215,49,75,89,86
TR12216,2,9,2,0
TR12217,1,10,9,3
TR12218,40,15,52,48
TR12219,27,43,46,2
TR12220,37,7,0,1
TR12221,0,3,3,9
TR12222,10,14,30,28
TR12224,4,7,5,8
TR12226,6,14,16,10
TR12227,35,43,72,37
TR1223,21,8,3,9
TR12230,57,64,50,84
TR12233,3,6,10,4
TR12235,8,5,16,7
TR12236,21,16,25,15
TR12237,9,17,21,14
TR12238,46,5526,3416,5625
TR12239,14,8,24,15
TR1224,3,6,18,20
TR12241,4,1,10,7
TR12242,1,0,0,1
TR12242-1,1,0,7,4
TR12242-2,7,0,12,2
TR12244,9,6,3,0
TR12245,0,5,5,6
TR12246,9,15,13,5
TR12248,2,3,3,5
TR12249,15,4,15,10
TR12250,26,9,8,3
TR12253,1,2,7,4
TR12254,10,8,13,12
TR12255,18,32,7,17
TR12256,0,4,1,2
TR12257,167,81,80,123
TR12258,25,12,109,46
TR12259,20,22,22,27
TR12260,36,26,57,166
TR12261,5,15,12,8
TR12262,3,7,15,5
TR12263,6,6,8,8
TR12264,6,9,12,8
TR12267-1,17,15,10,2
TR12267-2,2,11,6,3
TR12267-3,11,5,26,14
TR12269,9,14,4,40
TR1227,2,12,13,7
TR12270,13,9,19,6
TR12272,0,2,17,21
TR12273,20,10,23,4
TR12275,6,5,7,8
TR12276,21,37,42,40
TR12277-1,18,11,11,2
TR12277-2,10,8,4,2
TR1228,16,14,21,15
TR12281,5,5,26,23
TR12282,10,13,12,4
TR12283,15,14,20,18
TR12287,5,6,6,32
TR12288,21,23,24,11
TR1229,5,8,3,4
TR12290,11,20,27,18
TR12291,5,2,14,17
TR12292,13,25,32,32
TR12293,73,85,112,76
TR12295,11,7,22,6
TR12299,13,4,23,6
TR123,2,2,6,8
TR1230,8,7,9,9
TR12304,62,59,99,64
TR12305,5,13,15,10
TR12306,3,3,13,7
TR12307,83,4,17,8
TR12308,14,15,21,19
TR1231,40,60,38,42
TR12311-1,2,1,1,1
TR12311-2,2,0,1,2
TR12313,7,38,13,32
TR12314,27,29,41,32
TR12315,0,3,6,3
TR12316,6,9,11,9
TR12318,60,1,7,1
TR12319,4,10,31,15
TR12321,8,16,23,24
TR12322-1,2,9,1,1
TR12322-2,0,2,10,1
TR12323,25,25,8,19
TR12324-1,0,3,11,5
TR12324-2,10,17,34,14
TR12325,28,35,40,57
TR12326,1,5,2,3
TR12327,88,32,40,61
TR12328,2,9,11,20
TR12329,53,18,1,6
TR1233,171,72,12,232
TR12334,7,29,5,17
TR12335,12,13,25,19
TR12336,4,4,19,20
TR12337,6,17,25,27
TR12338,9,25,33,14
TR1234,6,4,12,7
TR12340,137,164,188,104
TR12343-1,0,1,6,0
TR12343-2,2,3,17,8
TR12344,8,15,15,8
TR12347,8,18,32,37
TR12348-1,1,6,3,2
TR12348-2,1,5,0,4
TR12349,0,0,7,18
TR12351,8,0,1,2
TR12353,9,3,22,47
TR12354,10,7,7,10
TR12355,125,162,179,134
TR12357,58,49,160,36
TR12359,3,7,3,1
TR1236,6,10,1,12
TR12361,27,9,8,7
TR12363-1,3,0,15,2
TR12363-2,7,18,15,5
TR12364,3,6,16,9
TR12365,14,4,14,12
TR12367,9,16,10,10
TR12369,8,34,56,32
TR1237,3,10,5,8
TR12370,43,114,188,129
TR12371,7,7,7,15
TR12372,2,6,7,17
TR12373,17,36,54,41
TR12375,177,186,266,186
TR12379,9,29,30,37
TR1238,2,18,5,3
TR12380,14,13,19,3
TR12382-1,0,3,7,0
TR12382-2,0,22,0,0
TR12383,0,2,1,11
TR12386,10,13,30,14
TR12388,12,6,12,9
TR12389,25,11,38,27
TR1239,6,11,4,7
